,train,val,test
98,1463717B10#4_14,,
99,1482921A01#4_15,,
100,1482921A02#4_16,,
101,1482921A03#4_17,,
102,1482921A04#4_18,,
103,1482921A05#4_19,,
104,1482921A06#4_20,,
105,1482921A07#5_1,,
106,1491815A01#5_8,,
107,1491815A02#5_9,,
108,1491815A03#5_10,,
109,1491815A04#5_11,,
110,1491815A05#5_12,,
111,1491815A06#5_13,,
112,1491815A07#5_14,,
113,1491815A08#5_15,,
114,1493667A02#5_16,,
115,1493667A03#5_17,,
116,1493667A04#5_18,,
117,1493667A05#5_19,,
118,1493667A06#5_20,,
119,1493667A07#6_1,,
120,1493667A08#6_2,,
121,1494509A01#6_3,,
122,1494509A02#6_4,,
123,1494509A03#6_5,,
124,1494509A04#6_6,,
125,1494509A05#6_7,,
126,1494509A06#6_8,,
127,1494509A07#6_9,,
128,1520691A01#6_16,,
129,1520691A02#6_17,,
130,1520691A03#6_18,,
131,1520691A04#6_19,,
132,1520691A05#6_20,,
133,1520691A06#19_1,,
134,1526644A01#19_2,,
135,1526644A02#19_3,,
136,1526644A03#19_4,,
137,1526644A04#19_5,,
138,1526644A05#19_6,,
139,1526644A06#19_7,,
140,1526644A07#19_8,,
141,1526644A08#19_9,,
142,1544136A01#19_10,,
143,1544136A02#19_11,,
144,1544136A03#19_12,,
145,1544136A04#19_13,,
146,1544136A05#19_14,,
147,1544136A06#19_15,,
148,1544136A07#19_16,,
149,1544136A08#19_17,,
150,1549139A01#19_18,,
151,1549139A02#19_19,,
152,1549139A03#19_20,,
153,1549139A04#20_1,,
154,1549139A05#20_2,,
155,1549818A01#20_3,,
156,1549818A02#20_4,,
157,1549818A03#20_5,,
158,1549818A04#20_6,,
159,1549818A05#20_7,,
160,1549818A06#20_8,,
161,1556514A01#20_9,,
162,1556514A02#20_10,,
163,1556514A03#20_11,,
164,1556514A04#20_12,,
165,1556514A05#20_13,,
166,1556514A06#20_14,,
167,1556514A07#20_15,,
168,1556514A08#20_16,,
169,1565608A01#21_3,,
170,1565608A02#21_4,,
171,1565608A03#21_5,,
172,1565608A04#21_6,,
173,1565608A05#21_7,,
174,1565608A06#21_8,,
175,1565608A07#21_9,,
176,1565608A08#21_10,,
177,1569744A01#21_11,,
178,1569744A02#21_12,,
179,1569744A03#21_13,,
180,1569744A04#21_14,,
181,1569744A05#21_15,,
182,1569744A06#21_16,,
183,1569744A07#21_17,,
184,1569744A08#21_18,,
185,1569744A09#21_19,,
186,1569744A10#21_20,,
187,1569744A11#7_1,,
188,1569744A12#7_2,,
189,1569744A13#7_3,,
190,1569744A14#7_4,,
191,X133886A01#3_15,,
192,X133886A02#3_16,,
193,X133886A03#3_17,,
194,X133886A04#3_18,,
195,X133886A05#3_19,,
196,X133886A06#3_20,,
197,X150846A01#4_1,,
198,X150846A02#4_2,,
199,X150846A03#4_3,,
200,X150846A04#4_4,,
201,X150846A05#4_5,,
202,X150846A06#4_6,,
203,X150846A07#4_7,,
204,X150846A08#4_8,,
205,X155551A01#4_9,,
206,X155551A02#4_10,,
207,X155551A03#4_11,,
208,X155551A04#4_12,,
209,X155551A05#4_13,,
210,X155551A06#4_14,,
211,X161534A01#4_15,,
212,X161534A02#4_16,,
213,X161534A03#4_17,,
214,X161534A04#4_18,,
215,X161534A05#4_19,,
216,X161534A06#4_20,,
217,X161534A07#5_1,,
218,X161534A08#5_2,,
219,X169778A01#5_3,,
220,X169778A02#5_4,,
221,X169778A03#5_5,,
222,X169778A04#5_6,,
223,X169778A05#5_7,,
224,X169778A06#5_8,,
225,X169778A07#5_9,,
226,X169778A08#5_10,,
227,X172464A01#5_11,,
228,X172464A02#5_12,,
229,X172464A03#5_13,,
230,X172464A04#5_14,,
231,X172464A05#5_15,,
232,X172464A06#5_16,,
233,X172464A07#5_17,,
234,X172464A08#5_18,,
235,X179852A01#5_19,,
236,X179852A02#5_20,,
237,X179852A03#6_1,,
238,X179852A04#6_2,,
239,X179852A05#6_3,,
240,X179852A06#6_4,,
241,X197133A01#6_11,,
242,X197133A02#6_12,,
243,X197133A03#6_13,,
244,X197133A04#6_14,,
245,X197133A05#6_15,,
246,X197133A06#6_16,,
247,X197133A07#6_17,,
248,X197133A08#6_18,,
249,X207531C01#7_11,,
250,X207531C02#7_12,,
251,X207531C03#7_13,,
252,X207531C04#7_14,,
253,X207531C05#7_15,,
254,X207531C06#7_16,,
255,X207531C07#7_17,,
256,X207531C08#7_18,,
257,X207531C09#7_19,,
258,X207531C10#7_20,,
259,X207531C11#8_1,,
260,X207531C12#8_2,,
261,X207531C13#8_3,,
262,X207531C14#8_4,,
263,X207531C15#8_5,,
264,X207531C16#8_6,,
265,X207531C17#8_7,,
266,X207531C18#8_8,,
267,X207531C19#8_9,,
268,X207531C20#8_10,,
269,X211079A01#9_3,,
270,X211079A02#9_4,,
271,X211079A03#9_5,,
272,X211079A04#9_6,,
273,X211079A05#9_7,,
274,X211079A06#9_8,,
275,X211079A07#9_9,,
276,X211079A08#9_10,,
277,X219408A01#9_11,,
278,X219408A02#9_12,,
279,X219408A03#9_13,,
280,X219408A04#9_14,,
281,X219408A05#9_15,,
282,X219408A06#9_16,,
283,X219408A07#9_17,,
284,X219408A08#9_18,,
285,X224490A01#9_19,,
286,X224490A02#9_20,,
287,X224490A03#10_1,,
288,X224490A04#10_2,,
289,X224490A05#10_3,,
290,X224490A06#10_4,,
291,X224490A07#10_5,,
292,X224490A08#10_6,,
293,X225774A01#10_7,,
294,X225774A02#10_8,,
295,X225774A03#10_9,,
296,X225774A04#10_10,,
297,X225774A05#10_11,,
298,X225774A06#10_12,,
299,X225774A07#10_13,,
300,X225774A08#10_14,,
301,X227639A01#10_15,,
302,X227639A02#10_16,,
303,X227639A03#10_17,,
304,X227639A04#10_18,,
305,X227639A05#10_19,,
306,X227639A06#10_20,,
307,X227639A07#11_1,,
308,X227639A08#11_2,,
309,X242275A01#11_3,,
310,X242275A02#11_4,,
311,X242275A03#11_5,,
312,X242275A04#11_6,,
313,X242275A05#11_7,,
314,X242275A06#11_8,,
315,X242275A07#11_9,,
316,X242275A08#11_10,,
