,train,val,test
116,1491815A02#5_9,,
117,1491815A03#5_10,,
118,1491815A04#5_11,,
119,1491815A05#5_12,,
120,1491815A06#5_13,,
121,1491815A07#5_14,,
122,1491815A08#5_15,,
123,1493667A02#5_16,,
124,1493667A03#5_17,,
125,1493667A04#5_18,,
126,1493667A05#5_19,,
127,1493667A06#5_20,,
128,1493667A07#6_1,,
129,1493667A08#6_2,,
130,1494509A01#6_3,,
131,1494509A02#6_4,,
132,1494509A03#6_5,,
133,1494509A04#6_6,,
134,1494509A05#6_7,,
135,1494509A06#6_8,,
136,1494509A07#6_9,,
137,1520691A01#6_16,,
138,1520691A02#6_17,,
139,1520691A03#6_18,,
140,1520691A04#6_19,,
141,1520691A05#6_20,,
142,1520691A06#19_1,,
143,1526644A01#19_2,,
144,1526644A02#19_3,,
145,1526644A03#19_4,,
146,1526644A04#19_5,,
147,1526644A05#19_6,,
148,1526644A06#19_7,,
149,1526644A07#19_8,,
150,1526644A08#19_9,,
151,1544136A01#19_10,,
152,1544136A02#19_11,,
153,1544136A03#19_12,,
154,1544136A04#19_13,,
155,1544136A05#19_14,,
156,1544136A06#19_15,,
157,1544136A07#19_16,,
158,1544136A08#19_17,,
159,1549139A01#19_18,,
160,1549139A02#19_19,,
161,1549139A03#19_20,,
162,1549139A04#20_1,,
163,1549139A05#20_2,,
164,1549818A01#20_3,,
165,1549818A02#20_4,,
166,1549818A03#20_5,,
167,1549818A04#20_6,,
168,1549818A05#20_7,,
169,1549818A06#20_8,,
170,1556514A01#20_9,,
171,1556514A02#20_10,,
172,1556514A03#20_11,,
173,1556514A04#20_12,,
174,1556514A05#20_13,,
175,1556514A06#20_14,,
176,1556514A07#20_15,,
177,1556514A08#20_16,,
178,1561277B01#2_1,,
179,1561277B02#2_2,,
180,1561277B03#2_3,,
181,1561277B04#2_4,,
182,1561277B05#2_5,,
183,1565608A01#21_3,,
184,1565608A02#21_4,,
185,1565608A03#21_5,,
186,1565608A04#21_6,,
187,1565608A05#21_7,,
188,1565608A06#21_8,,
189,1565608A07#21_9,,
190,1565608A08#21_10,,
191,1569744A01#21_11,,
192,1569744A02#21_12,,
193,1569744A03#21_13,,
194,1569744A04#21_14,,
195,1569744A05#21_15,,
196,1569744A06#21_16,,
197,1569744A07#21_17,,
198,1569744A08#21_18,,
199,1569744A09#21_19,,
200,1569744A10#21_20,,
201,1569744A11#7_1,,
202,1569744A12#7_2,,
203,1569744A13#7_3,,
204,1569744A14#7_4,,
205,X127179A01#3_9,,
206,X127179A02#3_10,,
207,X127179A03#3_11,,
208,X127179A04#3_12,,
209,X127179A05#3_13,,
210,X127179A06#3_14,,
211,X133886A01#3_15,,
212,X133886A02#3_16,,
213,X133886A03#3_17,,
214,X133886A04#3_18,,
215,X133886A05#3_19,,
216,X133886A06#3_20,,
217,X150846A01#4_1,,
218,X150846A02#4_2,,
219,X150846A03#4_3,,
220,X150846A04#4_4,,
221,X150846A05#4_5,,
222,X150846A06#4_6,,
223,X150846A07#4_7,,
224,X150846A08#4_8,,
225,X155551A01#4_9,,
226,X155551A02#4_10,,
227,X155551A03#4_11,,
228,X155551A04#4_12,,
229,X155551A05#4_13,,
230,X155551A06#4_14,,
231,X169778A01#5_3,,
232,X169778A02#5_4,,
233,X169778A03#5_5,,
234,X169778A04#5_6,,
235,X169778A05#5_7,,
236,X169778A06#5_8,,
237,X169778A07#5_9,,
238,X169778A08#5_10,,
239,X172464A01#5_11,,
240,X172464A02#5_12,,
241,X172464A03#5_13,,
242,X172464A04#5_14,,
243,X172464A05#5_15,,
244,X172464A06#5_16,,
245,X172464A07#5_17,,
246,X172464A08#5_18,,
247,X179852A01#5_19,,
248,X179852A02#5_20,,
249,X179852A03#6_1,,
250,X179852A04#6_2,,
251,X179852A05#6_3,,
252,X179852A06#6_4,,
253,X197133A01#6_11,,
254,X197133A02#6_12,,
255,X197133A03#6_13,,
256,X197133A04#6_14,,
257,X197133A05#6_15,,
258,X197133A06#6_16,,
259,X197133A07#6_17,,
260,X197133A08#6_18,,
261,X207531C01#7_11,,
262,X207531C02#7_12,,
263,X207531C03#7_13,,
264,X207531C04#7_14,,
265,X207531C05#7_15,,
266,X207531C06#7_16,,
267,X207531C07#7_17,,
268,X207531C08#7_18,,
269,X207531C09#7_19,,
270,X207531C10#7_20,,
271,X207531C11#8_1,,
272,X207531C12#8_2,,
273,X207531C13#8_3,,
274,X207531C14#8_4,,
275,X207531C15#8_5,,
276,X207531C16#8_6,,
277,X207531C17#8_7,,
278,X207531C18#8_8,,
279,X207531C19#8_9,,
280,X207531C20#8_10,,
281,X209790A01#8_11,,
282,X209790A02#8_12,,
283,X209790A03#8_13,,
284,X209790A04#8_14,,
285,X209790A05#8_15,,
286,X209790A06#8_16,,
287,X209790A07#8_17,,
288,X209790A08#8_18,,
289,X209790A09#8_19,,
290,X209790A10#8_20,,
291,X209790A11#9_1,,
292,X209790A12#9_2,,
293,X211079A01#9_3,,
294,X211079A02#9_4,,
295,X211079A03#9_5,,
296,X211079A04#9_6,,
297,X211079A05#9_7,,
298,X211079A06#9_8,,
299,X211079A07#9_9,,
300,X211079A08#9_10,,
301,X219408A01#9_11,,
302,X219408A02#9_12,,
303,X219408A03#9_13,,
304,X219408A04#9_14,,
305,X219408A05#9_15,,
306,X219408A06#9_16,,
307,X219408A07#9_17,,
308,X219408A08#9_18,,
309,X224490A01#9_19,,
310,X224490A02#9_20,,
311,X224490A03#10_1,,
312,X224490A04#10_2,,
313,X224490A05#10_3,,
314,X224490A06#10_4,,
315,X224490A07#10_5,,
316,X224490A08#10_6,,
317,X242275A01#11_3,,
318,X242275A02#11_4,,
319,X242275A03#11_5,,
320,X242275A04#11_6,,
321,X242275A05#11_7,,
322,X242275A06#11_8,,
323,X242275A07#11_9,,
324,X242275A08#11_10,,
